Stall ID,Item Name,Price,Durability,Compatibility
STALL-196,Hyper Matrix,381,90,0.66
STALL-068,Quantum Core,896,70,0.57
STALL-008,Ion Emitter,1124,51,0.65
STALL-002,Cyber Drive,218,76,0.94
STALL-105,Solar Emitter,1158,58,1.0
STALL-125,Nano Relay,297,50,0.68
STALL-110,Hyper Matrix,584,60,0.72
STALL-086,Neutron Matrix,1182,52,0.86
STALL-169,Hyper Shield,936,72,0.94
STALL-120,Neutron Shield,1284,75,0.8
STALL-127,Plasma Shield,1108,53,0.7
STALL-183,Plasma Core,790,67,0.71
STALL-016,Quantum Drive,1329,55,0.85
STALL-062,Solar Filter,1135,84,0.5
STALL-113,Nano Matrix,589,71,0.81
STALL-176,Hyper Relay,375,92,0.68
STALL-158,Ion Core,792,64,0.9
STALL-012,Plasma Drive,341,71,0.55
STALL-035,Cyber Shield,1339,86,0.79
STALL-011,Plasma Matrix,1374,91,0.74
STALL-064,Neutron Shield,225,61,0.82
STALL-050,Neutron Shield,316,96,0.53
STALL-149,Quantum Filter,1429,98,0.79
STALL-069,Plasma Lens,1308,91,0.78
STALL-048,Neutron Lens,1162,87,0.78
STALL-020,Neutron Filter,1346,67,0.8
STALL-101,Nano Lens,1307,94,0.84
STALL-195,Nano Relay,594,84,0.9
STALL-172,Plasma Core,526,79,0.63
STALL-161,Cyber Filter,1301,73,0.91
STALL-189,Nano Shield,1018,91,0.75
STALL-137,Neutron Core,1417,79,0.54
STALL-068,Solar Drive,250,63,0.53
STALL-035,Neutron Emitter,483,55,0.67
STALL-065,Nano Core,407,52,0.89
STALL-008,Neutron Core,1459,65,0.85
STALL-045,Quantum Emitter,845,56,0.89
STALL-087,Quantum Core,991,63,0.76
STALL-175,Ion Lens,474,58,0.72
STALL-168,Plasma Matrix,1131,64,0.57
STALL-076,Neutron Drive,1464,70,0.66
STALL-182,Quantum Lens,228,84,0.72
STALL-076,Cyber Relay,1114,51,0.54
STALL-174,Hyper Lens,768,76,0.61
STALL-047,Neutron Matrix,1475,51,0.8
STALL-015,Solar Shield,1481,84,0.87
STALL-105,Quantum Filter,616,67,1.0
STALL-147,Nano Emitter,185,63,0.97
STALL-026,Solar Matrix,1298,69,0.82
STALL-052,Cyber Matrix,1316,67,0.71
STALL-093,Nano Core,410,59,0.82
STALL-150,Quantum Lens,1242,74,0.89
STALL-021,Nano Lens,1341,51,0.56
STALL-051,Hyper Matrix,526,74,0.7
STALL-038,Neutron Shield,213,82,0.92
STALL-020,Neutron Lens,1268,85,0.69
STALL-157,Solar Shield,402,80,0.79
STALL-179,Solar Drive,843,63,0.79
STALL-132,Nano Matrix,687,50,0.59
STALL-055,Plasma Filter,1086,95,0.68
STALL-199,Solar Drive,444,65,0.67
STALL-092,Solar Lens,913,95,0.51
STALL-028,Cyber Core,900,52,0.51
STALL-004,Neutron Drive,1124,84,0.92
STALL-150,Solar Core,1270,90,0.64
STALL-076,Nano Drive,1410,55,0.76
STALL-173,Nano Core,1176,74,0.65
STALL-067,Nano Shield,1427,62,0.97
STALL-086,Cyber Relay,1192,83,0.63
STALL-194,Neutron Filter,460,57,0.71
STALL-162,Cyber Relay,1343,70,0.94
STALL-091,Nano Drive,1109,83,0.92
STALL-183,Nano Shield,803,53,0.59
STALL-105,Plasma Drive,674,74,0.9
STALL-001,Ion Relay,1284,64,0.73
STALL-072,Quantum Shield,1212,53,0.74
STALL-087,Solar Drive,787,94,0.57
STALL-166,Nano Filter,880,61,0.54
STALL-006,Ion Relay,684,81,0.86
STALL-153,Quantum Emitter,688,81,0.75
STALL-145,Quantum Filter,1282,77,0.72
STALL-061,Nano Matrix,588,62,0.86
STALL-012,Cyber Relay,1070,80,0.88
STALL-006,Quantum Lens,1447,63,0.58
STALL-027,Nano Filter,1225,69,0.81
STALL-136,Neutron Core,593,67,0.57
STALL-124,Plasma Core,118,78,0.88
STALL-106,Solar Relay,496,55,0.83
STALL-193,Quantum Emitter,1100,81,0.98
STALL-185,Solar Lens,1402,78,0.53
STALL-093,Nano Drive,950,92,0.53
STALL-109,Solar Filter,1488,51,0.64
STALL-099,Neutron Filter,1454,72,0.63
STALL-168,Ion Shield,1467,68,0.62
STALL-142,Plasma Lens,921,80,0.95
STALL-035,Quantum Relay,554,54,0.62
STALL-176,Cyber Emitter,824,68,0.64
STALL-084,Ion Filter,1188,83,0.88
STALL-056,Nano Matrix,1199,59,0.72
STALL-177,Hyper Emitter,810,74,0.89
STALL-141,Cyber Lens,242,51,0.53
STALL-189,Cyber Shield,1016,60,0.74
STALL-049,Cyber Drive,927,99,0.52
STALL-046,Solar Core,704,80,0.53
STALL-113,Cyber Filter,404,64,0.95
STALL-190,Plasma Shield,835,58,0.57
STALL-136,Hyper Core,390,72,0.77
STALL-043,Hyper Shield,201,68,0.71
STALL-148,Solar Drive,1390,58,0.67
STALL-124,Quantum Shield,966,84,0.95
STALL-097,Hyper Lens,1067,70,0.51
STALL-090,Ion Matrix,1073,58,0.83
STALL-039,Cyber Emitter,941,77,0.98
STALL-085,Neutron Drive,1061,95,0.78
STALL-177,Cyber Matrix,1041,56,0.97
STALL-192,Cyber Relay,1126,65,0.53
STALL-062,Nano Drive,184,65,0.71
STALL-106,Plasma Filter,427,82,0.63
STALL-107,Ion Relay,915,53,0.87
STALL-054,Solar Drive,553,53,0.99
STALL-126,Neutron Shield,728,88,0.63
STALL-009,Ion Shield,1344,89,0.83
STALL-088,Quantum Filter,1277,66,0.6
STALL-037,Quantum Matrix,764,86,0.78
STALL-049,Cyber Core,111,88,0.73
STALL-041,Neutron Matrix,1256,78,0.99
STALL-017,Plasma Relay,403,85,0.8
STALL-088,Ion Relay,1416,87,0.67
STALL-021,Nano Matrix,1074,88,0.56
STALL-051,Neutron Emitter,1423,99,0.58
STALL-059,Solar Shield,882,86,0.61
STALL-167,Ion Filter,142,84,0.63
STALL-183,Cyber Filter,1043,56,0.93
STALL-041,Neutron Drive,442,76,0.78
STALL-039,Neutron Core,1449,77,0.76
STALL-141,Hyper Emitter,597,71,0.56
STALL-192,Solar Emitter,463,63,0.93
STALL-011,Nano Matrix,990,56,0.86
STALL-147,Ion Lens,526,86,0.53
STALL-139,Nano Drive,1104,71,0.85
STALL-077,Cyber Filter,120,54,0.77
STALL-127,Neutron Core,506,51,0.54
STALL-046,Nano Drive,718,76,0.73
STALL-045,Neutron Core,1114,70,0.74
STALL-001,Quantum Emitter,435,87,0.58
STALL-168,Hyper Relay,1240,64,0.97
STALL-108,Quantum Matrix,1247,70,0.92
STALL-019,Neutron Lens,498,59,0.83
STALL-076,Plasma Core,892,72,0.73
STALL-072,Solar Emitter,814,88,0.71
STALL-200,Quantum Relay,150,54,0.83
STALL-189,Cyber Lens,423,50,0.77
STALL-109,Neutron Lens,888,62,0.53
STALL-012,Cyber Filter,240,70,0.76
STALL-189,Plasma Core,569,75,0.9
STALL-161,Nano Matrix,886,99,0.73
STALL-045,Solar Relay,1457,94,0.53
STALL-090,Neutron Filter,1063,70,0.89
STALL-103,Quantum Emitter,1107,67,0.6
STALL-197,Ion Drive,472,86,0.63
STALL-008,Nano Lens,593,94,0.58
STALL-153,Cyber Matrix,850,81,0.67
STALL-091,Solar Emitter,1279,85,0.88
STALL-174,Quantum Drive,390,66,0.76
STALL-087,Cyber Filter,1267,84,0.6
STALL-158,Ion Core,205,98,0.94
STALL-175,Hyper Filter,769,60,0.94
STALL-177,Ion Core,101,70,0.94
STALL-175,Hyper Emitter,688,75,0.62
STALL-084,Cyber Emitter,743,53,0.73
STALL-082,Plasma Filter,189,83,0.99
STALL-146,Solar Core,1468,97,0.89
STALL-194,Cyber Relay,449,67,0.51
STALL-068,Hyper Filter,1386,89,0.53
STALL-161,Nano Matrix,1474,84,0.73
STALL-127,Quantum Lens,1231,90,0.95
STALL-164,Solar Drive,1162,78,0.77
STALL-082,Solar Matrix,1008,78,0.75
STALL-147,Plasma Lens,258,87,0.55
STALL-156,Nano Shield,1058,91,0.83
STALL-168,Hyper Lens,411,70,0.91
STALL-084,Quantum Filter,1364,91,0.69
STALL-113,Ion Relay,544,62,0.89
STALL-076,Hyper Lens,397,98,0.98
STALL-122,Neutron Matrix,1051,90,0.6
STALL-143,Plasma Core,135,66,0.76
STALL-041,Cyber Filter,1207,58,0.64
STALL-167,Plasma Lens,1295,90,0.9
STALL-002,Neutron Filter,1499,50,0.79
STALL-191,Neutron Lens,1485,51,0.82
STALL-029,Plasma Core,658,97,0.9
STALL-105,Cyber Core,990,78,0.7
STALL-194,Hyper Lens,240,82,0.96
STALL-051,Ion Lens,986,59,0.77
STALL-075,Hyper Filter,1241,99,0.58
STALL-010,Cyber Emitter,1400,89,0.85
STALL-142,Plasma Shield,825,70,0.9
STALL-051,Solar Lens,1343,77,0.66
STALL-118,Quantum Emitter,1149,60,0.93
STALL-121,Plasma Shield,620,83,0.95
STALL-039,Plasma Core,109,57,0.64
STALL-028,Plasma Matrix,1083,71,0.99
STALL-003,Hyper Core,477,57,0.57
STALL-084,Nano Emitter,781,98,0.6
STALL-198,Quantum Filter,683,64,0.59
STALL-155,Ion Shield,251,66,0.95
STALL-117,Hyper Relay,819,72,0.83
STALL-002,Quantum Filter,1172,73,0.58
STALL-093,Quantum Shield,1277,94,0.72
STALL-166,Ion Shield,958,68,0.81
STALL-131,Quantum Relay,1416,54,0.54
STALL-144,Cyber Core,149,81,0.94
STALL-094,Solar Drive,763,93,0.9
STALL-040,Nano Drive,630,50,0.75
STALL-002,Neutron Filter,1183,72,0.98
STALL-081,Plasma Filter,1290,86,0.71
STALL-169,Plasma Relay,1325,57,0.99
STALL-012,Ion Lens,956,62,0.83
STALL-163,Plasma Shield,245,57,0.82
STALL-065,Cyber Lens,1014,72,0.58
STALL-055,Solar Shield,1092,92,0.94
STALL-045,Cyber Filter,341,50,0.71
STALL-101,Cyber Filter,680,94,0.58
STALL-062,Ion Drive,786,73,0.51
STALL-049,Ion Relay,582,84,0.78
STALL-127,Neutron Emitter,1231,73,0.76
STALL-153,Solar Emitter,1349,66,0.86
STALL-023,Hyper Shield,772,54,0.95
STALL-152,Hyper Shield,730,69,0.54
STALL-038,Ion Drive,760,70,0.87
STALL-028,Ion Core,761,89,0.59
STALL-021,Cyber Shield,904,80,0.93
STALL-182,Hyper Drive,518,95,0.91
STALL-107,Quantum Filter,1087,85,0.77
STALL-146,Cyber Relay,1283,60,0.86
STALL-164,Cyber Matrix,749,64,0.66
STALL-099,Plasma Matrix,1068,68,0.74
STALL-173,Neutron Shield,689,56,0.91
STALL-119,Neutron Relay,1200,77,0.73
STALL-073,Hyper Emitter,608,92,0.68
STALL-181,Nano Lens,540,54,0.75
STALL-122,Nano Relay,1377,54,0.91
STALL-030,Nano Relay,1020,79,0.67
STALL-188,Solar Drive,869,81,0.59
STALL-108,Cyber Shield,1443,57,0.86
STALL-098,Hyper Shield,362,59,0.91
STALL-032,Neutron Filter,1497,87,0.55
STALL-195,Nano Lens,736,96,0.62
STALL-195,Solar Core,1290,81,0.57
STALL-156,Neutron Drive,558,97,0.67
STALL-172,Cyber Shield,1098,77,0.73
STALL-079,Neutron Drive,1403,66,0.87
STALL-041,Nano Matrix,799,80,0.83
STALL-063,Hyper Relay,401,57,0.81
STALL-023,Ion Core,1341,89,0.68
STALL-104,Ion Emitter,1225,74,0.92
STALL-075,Plasma Filter,653,58,0.74
STALL-048,Nano Relay,387,51,0.99
STALL-160,Quantum Matrix,1290,64,0.82
STALL-057,Solar Emitter,720,99,0.56
STALL-118,Nano Emitter,1105,52,0.84
STALL-100,Cyber Emitter,135,98,0.66
STALL-124,Hyper Emitter,843,85,0.84
STALL-161,Cyber Lens,452,53,0.53
STALL-152,Quantum Core,172,63,0.59
STALL-167,Neutron Lens,747,90,0.93
STALL-034,Plasma Emitter,1476,90,0.61
STALL-184,Quantum Matrix,1193,74,0.92
STALL-156,Quantum Lens,524,99,0.64
STALL-165,Cyber Shield,1098,59,0.82
